Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
144,Chris Paul,PG,36,PHO,3,3,37,9,16.7,0.54,2.3,6,0.389,6.7,10.7,0.625,0.61,4.7,5,0.933,0.7,3.3,4,12.7,1.7,0.3,0.7,2.3,25
145,Cameron Payne,PG,27,PHO,3,0,15.7,1.7,5.7,0.294,0,2.3,0,1.7,3.3,0.5,0.294,0.3,0.7,0.5,0,1,1,1.3,1,0,1.3,1.7,3.7
146,Gary Payton II,PG,29,GSW,3,0,17.3,2,2.7,0.75,1,1,1,1,1.7,0.6,0.938,1.3,2,0.667,1.3,2.3,3.7,1,0.7,1,0,1,6.3
147,Jordan Poole,SG,22,GSW,3,3,32.7,9.3,14,0.667,4.3,7.3,0.591,5,6.7,0.75,0.821,5.7,7,0.81,0,3,3,4.7,1,0.7,2.7,2.7,28.7
148,Otto Porter Jr.,PF,28,GSW,3,0,23.3,2,6,0.333,0.3,3.3,0.1,1.7,2.7,0.625,0.361,0,0,0,0.7,2,2.7,3,1,0.7,1,2.7,4.3
149,Bobby Portis,C,26,MIL,3,1,18.3,3.3,8,0.417,2,4.7,0.429,1.3,3.3,0.4,0.542,1.3,2,0.667,2.3,7.7,10,0.7,0.3,0.3,0.7,1.3,10
150,Dwight Powell,C,30,DAL,4,4,18.8,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,1.3,2,0.625,1.8,2.5,4.3,0.8,0.3,0.8,1,3.3,4.3
151,Taurean Prince,PF,27,MIN,4,0,11.8,1.8,4.8,0.368,1,2.8,0.364,0.8,2,0.375,0.474,0.5,0.8,0.667,0,1.3,1.3,0.8,0.5,0.3,0.8,0.8,5
152,Payton Pritchard,SG,24,BOS,3,0,12,3.3,4.3,0.769,1,2,0.5,2.3,2.3,1,0.885,0,0,0,0,1.7,1.7,0.7,0.3,0,0.3,1,7.7
153,Paul Reed,C,22,PHI,4,0,9.8,1.3,2.3,0.556,0.5,0.5,1,0.8,1.8,0.429,0.667,0.3,0.5,0.5,0.8,2,2.8,0.3,0.8,0.5,1,2.8,3.3
154,Naz Reid,C,22,MIN,4,0,10.3,0.8,2.5,0.3,0.5,1.3,0.4,0.3,1.3,0.2,0.4,1.8,1.8,1,0.5,2.5,3,0,0.3,1.3,1.3,3,3.8
155,Austin Rivers,SG,29,DEN,3,0,22.7,2.3,4,0.583,1,2.3,0.429,1.3,1.7,0.8,0.708,0.3,0.3,1,0,1,1,1,0.7,0.3,0.7,3.3,6
156,Duncan Robinson,SG,27,MIA,3,0,14.7,3.3,4.7,0.714,3,4.3,0.692,0.3,0.3,1,1.036,1.3,1.3,1,0,1.7,1.7,0,0,0,0.7,2.7,11
157,D'Angelo Russell,PG,25,MIN,4,4,32.5,4.3,13.8,0.309,2.3,6,0.375,2,7.8,0.258,0.391,2.5,3.3,0.769,0,3,3,7,1,0,2.3,3.3,13.3
158,Landry Shamet,SG,24,PHO,2,0,20.5,2,5,0.4,0.5,3.5,0.143,1.5,1.5,1,0.45,0.5,0.5,1,1,0.5,1.5,1.5,0.5,0,1,1,5
159,Day'Ron Sharpe,PF,20,BRK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Pascal Siakam,PF,27,TOR,4,4,43.3,8,18.3,0.438,0.5,2.3,0.222,7.5,16,0.469,0.452,6,6.8,0.889,1.3,5.3,6.5,5.3,1,1.5,2,4.3,22.5
161,Marcus Smart,PG,27,BOS,3,3,36.7,5.7,13.7,0.415,2.3,8.3,0.28,3.3,5.3,0.625,0.5,1.7,2,0.833,1.3,2.3,3.7,5.7,1.7,0,3,3.7,15.3
162,Jaden Springer,SG,19,PHI,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
163,Max Strus,SF,25,MIA,3,3,25.3,5,10.3,0.484,3,7.7,0.391,2,2.7,0.75,0.629,1.3,2.3,0.571,0,1.3,1.3,2,1.3,0.3,0.7,2.3,14.3
164,Jayson Tatum,SF,23,BOS,3,3,43.7,9,21,0.429,3,8.3,0.36,6,12.7,0.474,0.5,8.7,10,0.867,1.3,3.7,5,8,2.3,1,4.7,4,29.7
165,Daniel Theis,C,29,BOS,3,3,22.7,4,7,0.571,0.3,2,0.167,3.7,5,0.733,0.595,1,1.3,0.75,2.3,3.7,6,1.3,0.7,0,1,3.3,9.3
166,Cam Thomas,SG,20,BRK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Klay Thompson,SG,31,GSW,3,3,34,8.7,17.3,0.5,4.7,10.3,0.452,4,7,0.571,0.635,0,0,0,0,2,2,1.3,0,1,1.3,1.7,22
168,Tristan Thompson,PF,30,CHI,3,0,8.7,0.7,1.7,0.4,0,0,0,0.7,1.7,0.4,0.4,0,0,0,0.7,1,1.7,0.3,0.3,0,0.7,0.7,1.3
169,Matisse Thybulle,SG,24,PHI,2,0,14.5,1.5,2,0.75,1,1.5,0.667,0.5,0.5,1,1,0,0,0,0,1,1,0.5,0.5,1.5,0,2,4
170,Xavier Tillman Sr.,PF,23,MEM,3,1,17.3,3,3.3,0.9,0,0.3,0,3,3,1,0.9,0.7,1.7,0.4,2.7,1.7,4.3,0.3,0.3,0,1.7,3,6.7
171,Juan Toscano-Anderson,SF,28,GSW,2,0,4,1,1,1,0.5,0.5,1,0.5,0.5,1,1.25,0.5,1,0.5,0,1,1,0.5,0.5,0,0,0,3
172,Karl-Anthony Towns,C,26,MIN,4,4,36.5,6.5,11.5,0.565,1.3,3,0.417,5.3,8.5,0.618,0.62,7,8,0.875,2.3,8.5,10.8,2,0,2.3,4.5,4,21.3
173,Gary Trent Jr.,SG,23,TOR,4,4,30.3,4.8,13.3,0.358,2.3,6.8,0.333,2.5,6.5,0.385,0.443,2.5,3,0.833,0.3,2.3,2.5,0.8,1,0.8,0.5,2,14.3
174,P.J. Tucker,PF,36,MIA,3,3,27.3,3.7,5.7,0.647,2,3,0.667,1.7,2.7,0.625,0.824,0.7,0.7,1,1,5,6,2.3,0.3,0,0.7,3.7,10
175,Rayjon Tucker,SG,24,MIL,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
176,Jonas Valan?i?nas,C,29,NOP,3,3,27.7,4,11.7,0.343,0,1,0,4,10.7,0.375,0.343,3.3,4,0.833,7,9.3,16.3,2.3,0.7,0.3,3,3,11.3
177,Jarred Vanderbilt,PF,22,MIN,4,4,23.8,2.3,4.8,0.474,0,0,0,2.3,4.8,0.474,0.474,1.8,2.5,0.7,2.3,5,7.3,1,1.3,0,0.8,3,6.3
178,Fred VanVleet,PG,27,TOR,4,4,35,4.8,13.5,0.352,3,9,0.333,1.8,4.5,0.389,0.463,1.3,1.5,0.833,0.5,2.5,3,6.3,1.8,1,1,3,13.8
179,Luca Vildoza,PG,26,MIL,1,0,8,1,3,0.333,1,3,0.333,0,0,0,0.5,0,0,0,0,1,1,3,2,0,0,1,3
180,Gabe Vincent,PG,25,MIA,3,0,22.7,2.3,6.7,0.35,1.7,5.7,0.294,0.7,1,0.667,0.475,1,1.3,0.75,0.3,1.3,1.7,4.3,1,0.3,2,3,7.3
181,Nikola Vu?evi?,C,31,CHI,3,3,35,9,20.7,0.435,3,9,0.333,6,11.7,0.514,0.508,1.3,1.7,0.8,3.7,8.3,12,2.7,0.7,1,1.7,2.7,22.3
182,Yuta Watanabe,SF,27,TOR,2,0,3.5,0.5,1.5,0.333,0,0,0,0.5,1.5,0.333,0.333,0,0,0,0,0,0,0,0,0,0.5,0,1
183,Coby White,PG,21,CHI,3,0,18,2.7,8,0.333,1.3,4.3,0.308,1.3,3.7,0.364,0.417,1,1.3,0.75,0,4,4,1,0,0,1,1,7.7
184,Derrick White,SG,27,BOS,3,0,18.3,1.3,4.3,0.308,0.3,2.3,0.143,1,2,0.5,0.346,1,1.3,0.75,0.3,3.7,4,2,1.3,0,1,2,4
185,Hassan Whiteside,C,32,UTA,4,0,11,1,1.8,0.571,0,0,0,1,1.8,0.571,0.571,0.3,1,0.25,1.5,3.8,5.3,0,0.3,1.8,0,1.8,2.3
186,Andrew Wiggins,SF,26,GSW,3,3,29.7,4.7,8.7,0.538,1.7,3,0.556,3,5.7,0.529,0.635,1.7,3,0.556,1.3,6.3,7.7,1.7,1,0.3,1,2,12.7
187,Grant Williams,PF,23,BOS,3,0,28.7,3.3,6,0.556,1.3,3.3,0.4,2,2.7,0.75,0.667,2.3,2.7,0.875,2.3,2,4.3,0.7,0.3,1,0.3,3,10.3
188,Patrick Williams,PF,20,CHI,3,3,28.7,2,7,0.286,0,2.7,0,2,4.3,0.462,0.286,1.3,2,0.667,0.7,4.7,5.3,1.3,1.7,0.7,1,3,5.3
189,Robert Williams,C,24,BOS,1,0,16,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,2,1,0,1,0,0,2
190,Ziaire Williams,SF,20,MEM,4,0,12.8,2,4.3,0.471,0.8,3,0.25,1.3,1.3,1,0.559,2.3,2.5,0.9,0.3,0,0.3,0.3,0.5,0,0,1.5,7
191,Delon Wright,SG,29,ATL,3,0,26.7,3.7,5.7,0.647,1,2.7,0.375,2.7,3,0.889,0.735,0.7,1,0.667,1.7,1.7,3.3,3,1.3,0,1,0,9
192,Thaddeus Young,PF,33,TOR,4,0,12.3,2,3,0.667,0.3,1,0.25,1.8,2,0.875,0.708,0,0.5,0,1,1,2,1.3,0.8,0.3,0.3,1.5,4.3
193,Trae Young,PG,23,ATL,3,3,36.3,5.7,15.3,0.37,1.3,7.7,0.174,4.3,7.7,0.565,0.413,6.3,7.7,0.826,1,4.3,5.3,6.3,1,0,6.3,2.7,19
194,Omer Yurtseven,C,23,MIA,1,0,5,2,3,0.667,0,1,0,2,2,1,0.667,1,2,0.5,0,1,1,0,0,0,0,1,5
