Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
34,Jalen Brunson,PG,25,DAL,4,4,38.5,10.8,22.3,0.483,2.3,5.5,0.409,8.5,16.8,0.507,0.534,6,7,0.857,0.8,4.5,5.3,4.8,0.5,0,0.8,2,29.8
35,Reggie Bullock,SF,30,DAL,4,4,45,4,8,0.5,3,6.8,0.444,1,1.3,0.8,0.688,1.3,1.3,1,0.3,5.5,5.8,2.3,1,0.3,0.3,2.3,12.3
36,Trey Burke,PG,29,DAL,2,0,4.5,0.5,2,0.25,0.5,1,0.5,0,1,0,0.375,1.5,1.5,1,0,0.5,0.5,0,0,0,0,1,3
37,Jimmy Butler,SF,32,MIA,3,3,37.7,10.7,20,0.533,2,4.7,0.429,8.7,15.3,0.565,0.583,5.3,7.3,0.727,1.7,5.3,7,5.7,2.3,0.3,1.7,0.7,28.7
38,Facundo Campazzo,PG,30,DEN,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,1,1,0
39,Vlatko ?an?ar,PF,24,DEN,2,0,4.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,0,0,1,1,0.5,0,0,1,0,2.5
40,Jevon Carter,PG,26,MIL,3,0,12.3,0.3,1,0.333,0.3,1,0.333,0,0,0,0.5,0,0,0,0.3,1.3,1.7,1.3,0.3,0,0,1,1
41,Alex Caruso,SG,27,CHI,3,3,32,3,7.3,0.409,2.3,5.7,0.412,0.7,1.7,0.4,0.568,0,0,0,0.7,1.7,2.3,4.3,1.3,0.7,0.3,3,8.3
42,Brandon Clarke,PF,25,MEM,4,0,26.5,6,8.3,0.727,0,0.3,0,6,8,0.75,0.727,3.3,5,0.65,2.3,4.8,7,2,1.3,0.5,0.5,1.8,15.3
43,Jordan Clarkson,SG,29,UTA,4,0,27.3,6.5,10.8,0.605,1.8,3.5,0.5,4.8,7.3,0.655,0.686,2.8,3,0.917,0.3,2,2.3,1,0.3,0,2,3.3,17.5
44,Nic Claxton,C,22,BRK,3,0,25,4.3,6,0.722,0,0,0,4.3,6,0.722,0.722,1,3.7,0.273,1.7,4.7,6.3,1.3,1,2,0.7,1.3,9.7
45,John Collins,PF,24,ATL,3,2,24.7,4,7.7,0.522,0.7,1.3,0.5,3.3,6.3,0.526,0.565,1,2.3,0.429,0.3,6,6.3,1.7,0.7,0,0.7,1.7,9.7
46,Mike Conley,PG,34,UTA,4,4,29,3.5,10.3,0.341,1,4,0.25,2.5,6.3,0.4,0.39,2,2.5,0.8,0.5,3,3.5,4,1,0.3,2,3,10
47,Pat Connaughton,SG,29,MIL,3,0,20.3,1.7,7,0.238,1.3,6.3,0.211,0.3,0.7,0.5,0.333,1,1,1,0.3,3.3,3.7,1,0.7,0.3,0.3,0,5.7
48,DeMarcus Cousins,C,31,DEN,3,0,10.3,2.7,4.7,0.571,0.7,1,0.667,2,3.7,0.545,0.643,2,2.3,0.857,0.7,2.3,3,1.3,0.7,0.3,1.7,1.3,8
49,Torrey Craig,SF,31,PHO,3,0,9.7,0,1.3,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0.3,0.3,1,0.7,0.3,0.3,1,0
50,Jae Crowder,PF,31,PHO,3,3,30,2,8.3,0.24,0,4.7,0,2,3.7,0.545,0.24,1.3,1.7,0.8,0.7,3,3.7,1.7,1,1,0.7,3.3,5.3
51,Jarrett Culver,SG,22,MEM,1,0,5,1,2,0.5,0,0,0,1,2,0.5,0.5,0,0,0,1,2,3,1,2,0,0,0,2
52,Seth Curry,SG,31,BRK,3,3,31.7,4.3,8.7,0.5,2.3,4.7,0.5,2,4,0.5,0.635,0.7,0.7,1,0.7,1.3,2,3.3,0.3,0.3,1,4,11.7
53,Stephen Curry,PG,33,GSW,3,0,25,8.7,15.7,0.553,3.7,8.3,0.44,5,7.3,0.682,0.67,4.7,6,0.778,0.7,2.3,3,4.7,0.7,0.3,2.3,2.3,25.7
54,Dewayne Dedmon,C,32,MIA,3,0,13.7,2.7,5,0.533,0,1,0,2.7,4,0.667,0.533,0.7,1,0.667,2.3,3,5.3,1,0.3,0.3,0.7,3,6
55,DeMar DeRozan,PF,32,CHI,3,3,39.7,8.7,21.7,0.4,0,1.3,0,8.7,20.3,0.426,0.4,6,6.7,0.9,0.3,6.3,6.7,4.7,1.7,0.7,2.7,2.7,23.3
56,Gorgui Dieng,C,32,ATL,1,0,6,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,3
57,Spencer Dinwiddie,PG,28,DAL,4,3,35.3,5,15.8,0.317,1,5.5,0.182,4,10.3,0.39,0.349,5,6.8,0.741,1.3,2.5,3.8,5.8,1.8,0,2.8,4.5,16
